1	4630	6263	373	413
2	6263	4718	812	844
3	4718	4377	844	849
4	4377	7191	950	1032
5	7191	7181	1128	1203
6	7181	4718	1203	1234
7	4718	3251	1285	1412
8	2221	14	354	442
9	14	3638	442	476
10	3638	4621	845	906
11	4621	3638	924	985
12	3638	4621	1175	1236
13	4621	1184	1236	1262
14	1184	2997	1282	1366
15	3139	1453	342	531
16	1453	3139	548	728
17	3139	4196	728	876
18	4196	4513	1153	1239
19	6804	4377	385	445
20	4377	7191	530	623
21	7191	5885	623	678
22	5885	7191	700	746
23	7191	4377	888	970
24	4377	4630	1252	1313
25	6949	4377	351	414
26	4377	5818	778	891
27	5818	4377	891	1007
28	4377	6804	1175	1233
29	508	3631	358	428
30	3631	508	890	947
31	508	3631	972	1029
32	3631	6888	1030	1054
33	6888	4185	1054	1133
34	4185	830	1164	1217
35	830	5789	1217	1219
36	5789	669	1247	1396
37	6710	4513	192	239
38	4513	3959	313	372
39	3959	6849	380	420
40	6849	2759	420	470
41	2759	3125	1128	1322
42	3638	4621	755	816
43	4621	3638	894	955
44	3638	4621	1115	1176
45	4621	750	1176	1182
46	750	7331	1221	1260
47	7331	1014	1260	1262
48	1014	2997	1264	1328
49	2997	3480	1347	1393
50	4513	927	115	132
51	927	1479	137	228
52	1479	4446	228	230
53	4446	3349	285	330
54	3349	997	330	371
55	997	1453	532	562
56	1453	3139	668	848
57	6849	4513	465	551
58	4513	4196	559	648
59	4196	1453	657	704
60	1453	4196	704	757
61	4196	4513	793	879
62	4513	5915	897	962
63	5915	699	989	996
64	699	5915	1164	1169
65	5915	3152	1169	1188
66	3152	699	1311	1342
67	699	5915	1387	1394
68	6849	5100	405	526
69	5100	7331	714	780
70	7331	1014	780	782
71	1014	5100	1080	1128
72	5100	2997	1140	1170
73	2997	3480	1193	1241
74	3480	669	1259	1333
75	1014	1823	167	273
76	1823	1014	273	360
77	1014	6142	573	782
78	6142	7331	984	1186
79	7331	1014	1186	1188
80	1014	5100	1245	1299
81	5100	2997	1314	1342
82	2997	3480	1354	1399
83	1014	2997	103	170
84	2997	3480	198	247
85	3480	6710	265	327
86	6710	4513	327	393
87	4513	3870	424	485
88	3870	5915	899	1043
89	5915	699	1073	1080
90	699	3152	1080	1102
91	3152	1419	1154	1206
92	1014	6142	163	348
93	6142	1722	348	373
94	1722	6142	476	499
95	6142	7331	545	744
96	7331	1014	744	746
97	1014	2997	1159	1240
98	2997	3480	1264	1311
99	3480	1419	1329	1408
100	1014	5100	140	189
101	5100	2997	205	233
102	2997	3480	248	297
103	3480	669	314	387
104	669	830	390	559
105	830	5789	559	561
106	5789	669	863	1005
107	669	1419	1008	1108
108	1419	3152	1297	1356
109	1014	2997	490	567
110	2997	3480	594	642
111	3480	6710	654	715
112	6710	559	715	725
113	559	5915	908	913
114	5915	669	938	968
115	669	830	972	1157
116	830	5789	1157	1159
117	5789	669	1264	1407
118	669	5915	1412	1438
119	5789	6985	479	604
120	6985	102	745	768
121	102	830	865	955
122	830	5789	955	957
123	5789	3113	1218	1329
124	3113	877	1337	1390
125	4718	6263	175	213
126	6263	4238	1203	1222
127	4238	4718	1222	1224
128	4718	6296	1328	1382
129	4718	3012	386	420
130	3012	5078	420	434
131	5078	3012	600	615
132	3012	4630	1227	1267
133	6116	5379	299	307
134	5379	5398	307	345
135	5398	6116	407	437
136	6116	4513	501	759
137	4513	3870	769	830
138	3870	4513	832	892
139	4513	927	933	950
140	927	4718	950	1046
141	4718	877	1136	1284
142	877	3113	1309	1363
143	4621	3638	354	415
144	3638	4621	545	606
145	4621	3125	606	621
