DutyID,TaskIDs
11,"121"
15,"140"
74,"123"
165,"199"
319,"139"
324,"120"
5105,"329 328 327 326 325 324 323 330"
3561,"298 297 296 295 294 300 299"
1481,"180 179 178 184 183 182 181"
957,"175 174 173 172 171 170 176"
1309,"127 126 125 124 107 106 105"
6267,"267 266 305 304 303 302 301"
465,"4 3 2 1 6 5"
3092,"113 112 111 116 115 114"
6104,"214 213 212 211 210 215"
1656,"235 234 233 232 237 236"
2252,"143 148 147 146 145 144"
1109,"102 101 55 54 104 103"
1240,"230 229 228 198 197 231"
6096,"152 151 150 149 24"
4389,"241 240 239 238 242"
845,"284 283 282 281 285"
628,"311 310 309 313 312"
856,"194 193 192 196 195"
2076,"207 206 205 209 208"
5237,"38 42 41 40 39"
1626,"130 58 133 132 131"
1645,"202 201 200 204 203"
895,"318 317 316 13 12"
6459,"27 26 25 28"
6250,"45 44 43 46"
2785,"22 21 20 23"
6497,"49 48 47 50"
654,"220 219 218 221"
421,"250 249 248 251"
1140,"288 287 286 289"
1686,"260 263 262 261"
752,"8 7 10 9"
6524,"67 66 69 68"
1636,"291 290 293 292"
5990,"64 63 62 65"
1289,"15 14 17 16"
6465,"154 153 156 155"
933,"99 98 97 100"
741,"78 81 80 79"
696,"95 94 93 96"
723,"167 166 165 122"
768,"279 278 280"
1832,"60 59 61"
6545,"159 158 160"
6502,"271 270 272"
1606,"109 108 110"
600,"92 77 76"
756,"190 189 191"
6531,"137 136 138"
5810,"265 264 117"
348,"276 275 277"
1570,"35 34 36"
5713,"87 89 88"
5905,"187 186 188"
346,"306 308 307"
1069,"319 321 320"
1618,"322 86 85"
1048,"11 227 226"
6316,"244 243 245"
1599,"83 84"
334,"216 217"
350,"74 75"
330,"161 162"
735,"222 223"
6466,"268 269"
754,"168 169"
753,"314 315"
1491,"128 129"
1253,"32 33"
1578,"258 259"
335,"246 247"
1254,"141 177"
630,"163 164"
889,"252 253"
6542,"29 30"
6537,"70 71"
338,"273 274"
1727,"18 19"
1243,"256 257"
1023,"254 255"
942,"224 225"
1543,"56 57"
761,"52 53"
6533,"90 51"
6536,"157 91"
6541,"72 73"
1175,"226 82"
1751,"185 324"
1564,"142 37"
6525,"118 119"
966,"31 32"
5757,"134 135"
