DutyID,TaskIDs
6,"38"
42,"67"
68,"72"
70,"45"
94,"73"
99,"37"
100,"80"
103,"46"
260,"59 58 57 102 101 100 60"
311,"62 61 99 98 97 64 63"
113,"24 23 22 21 82 81"
169,"90 89 88 92 91"
522,"14 13 12 15"
178,"41 40 39 42"
216,"95 94 93 96"
198,"7 6 5 8"
279,"33 32 31 34"
208,"68 71 70 69"
154,"2 1 4 3"
225,"77 76 78"
147,"84 83 85"
556,"19 18 20"
375,"79 36 35"
243,"10 9 11"
190,"74 75"
104,"47 48"
542,"16 17"
138,"49 50"
162,"25 26"
559,"65 66"
191,"51 52"
205,"29 30"
226,"55 56"
182,"27 28"
157,"86 87"
558,"103 104"
204,"43 44"
203,"53 54"
