DutyID,TaskIDs
7,"341"
232,"107"
339,"739"
610,"741"
702,"787"
772,"252"
818,"572"
826,"253"
836,"408"
840,"340"
841,"254"
842,"573"
12824,"776 775 774 88 229 780 779 778 777"
13597,"317 316 315 314 118 117 116 115 778"
19486,"236 235 234 233 232 239 238 237"
34733,"245 244 243 242 710 240 247 246"
2232,"6 5 210 209 10 9 8 7"
8616,"225 224 223 222 221 228 227 226"
40115,"488 487 750 749 748 747 746 745"
8560,"460 459 458 457 456 455 462 461"
1799,"636 635 642 641 640 639 638 637"
8886,"767 766 383 382 381 380 379 378"
20479,"324 331 330 329 328 327 326 325"
39079,"492 491 490 489 744 743 742 493"
18433,"688 687 686 685 684 691 690 689"
4795,"759 758 757 668 755 762 761 760"
6308,"219 218 217 216 215 214 213 220"
1090,"257 256 255 446 445 444 443"
36505,"484 483 482 481 480 486 485"
37340,"196 195 194 200 199 198 197"
29134,"657 656 662 661 660 659 658"
7219,"588 587 593 592 591 590 589"
19261,"474 473 239 238 188 187 186"
30057,"283 282 281 287 286 285 284"
35673,"157 156 155 154 153 159 158"
14007,"113 112 111 110 109 108 114"
7664,"454 453 452 451 450 377 376"
13061,"467 466 465 464 463 319 318"
36322,"716 715 714 713 712 718 717"
15573,"652 651 650 649 385 384 653"
6847,"62 61 60 59 65 64 63"
38300,"559 558 614 613 612 611 610"
2920,"505 504 262 261 673 672 671"
42908,"494 168 167 166 497 496 495"
17579,"393 392 391 390 389 388 394"
26268,"241 709 708 707 786 785 711"
37514,"292 291 96 95 94 294 293"
11001,"517 516 515 514 519 518"
2810,"798 797 796 795 212 211"
30781,"533 532 531 530 529 534"
28788,"400 783 782 403 402 401"
6323,"585 584 583 582 581 586"
10410,"142 141 140 139 144 143"
8441,"806 805 804 803 808 807"
7077,"371 370 375 374 373 372"
43115,"37 36 35 34 39 38"
35658,"831 830 829 828 827 95"
43099,"437 436 435 434 339 338"
18907,"823 822 148 826 825 824"
35595,"428 427 426 425 424 429"
6732,"735 734 733 732 737 736"
42095,"98 721 720 719 569 568"
42061,"164 163 162 161 160 836"
42938,"788 359 358 357 356 789"
17797,"820 819 818 817 683 821"
17853,"625 624 623 628 627 626"
12246,"19 18 810 809 21 20"
9513,"772 771 770 769 768 773"
43418,"840 839 838 837 41 40"
10806,"595 594 599 598 597 596"
22619,"397 396 395 784 399 398"
16222,"815 814 813 812 811 816"
5442,"579 615 83 619 618 617"
9578,"310 309 308 313 312 311"
17754,"625 624 552 551 554 553"
35891,"608 607 606 605 609"
19971,"527 526 525 524 528"
10983,"679 678 682 681 680"
35972,"32 31 30 29 33"
43568,"499 498 165 699 500"
8450,"545 544 543 547 546"
1199,"442 441 260 259 258"
43784,"45 44 43 42 46"
26429,"190 189 193 192 191"
11683,"88 87 86 85 550"
42744,"567 566 565 564 698"
26207,"695 694 693 692 73"
38150,"352 351 350 354 353"
6710,"269 268 267 266 270"
6191,"106 731 730 105 621"
16464,"470 469 468 472 471"
18758,"345 344 122 121 346"
20105,"476 475 479 478 477"
25785,"695 280 279 278 696"
5959,"412 14 13 12 11"
5293,"509 508 507 506 510"
18062,"92 91 90 89 93"
18391,"654 120 119 347 346"
2479,"4 3 801 800 799"
39875,"562 561 560 563"
2183,"302 301 300 303"
41451,"834 833 832 835"
920,"205 204 203 206"
1130,"207 364 409 208"
19771,"151 150 149 152"
37816,"405 404 407 406"
18248,"322 321 320 323"
42931,"130 129 128 131"
37560,"290 289 288 97"
2486,"53 52 51 54"
7006,"305 304 307 306"
41896,"431 430 433 432"
3263,"263 503 265 264"
12658,"69 68 71 70"
3781,"577 580 616 578"
38111,"250 249 248 251"
5602,"57 56 55 58"
16563,"521 520 523 522"
1612,"174 173 172 175"
41576,"537 536 535 538"
19990,"27 26 25 28"
1390,"102 726 725 132"
38000,"76 75 74 336"
15731,"147 146 145 781"
25816,"555 629 557 556"
10886,"17 16 15 182"
9157,"273 272 271 274"
6714,"675 674 677 676"
982,"48 47 50 49"
2278,"727 103 729 728"
9337,"179 178 181 180"
14594,"386 648 647 387"
8749,"512 511 513"
7187,"644 643 645"
4596,"448 447 449"
17485,"601 600 602"
38120,"126 125 127"
18083,"23 22 24"
845,"170 169 171"
43763,"361 360 362"
6822,"414 413 415"
43700,"570 337 571"
8491,"417 416 418"
2407,"366 365 367"
8785,"738 67 66"
35944,"631 630 663"
5105,"81 80 82"
35801,"332 334 333"
876,"575 574 634"
42478,"296 295 297"
6609,"763 765 764"
18269,"183 185 184"
8953,"138 137 622"
18274,"421 423 422"
18266,"704 703 705"
43786,"843 842 794"
18687,"275 277 276"
43772,"792 791 793"
8445,"342 343"
961,"298 299"
2318,"541 542"
1416,"753 754"
43770,"99 100"
12186,"548 549"
43802,"201 202"
1205,"539 540"
6948,"176 177"
990,"363 364"
1370,"664 665"
6917,"135 84"
5999,"368 369"
43795,"438 439"
43764,"751 752"
2165,"724 104"
887,"1 2"
1715,"501 502"
43145,"722 723"
38138,"632 633"
21079,"655 740"
43800,"439 440"
12541,"419 420"
858,"101 576"
43769,"78 79"
34013,"123 124"
3771,"133 134"
20719,"603 604"
40544,"335 77"
16422,"230 231"
6881,"620 136"
43500,"355 790"
1369,"410 411"
18416,"72 706"
43694,"697 841"
5892,"700 701"
9590,"646 702"
23488,"348 349"
43807,"670 669 756 667 666 802"
