DutyID,TaskIDs
2537681,"315"
2538241,"138"
2538263,"160"
2538264,"230"
2622659,"459 458 416 415 414 413 412 375 374 373 372"
2565512,"275 274 273 272 271 270 269 268 277 276"
2569686,"96 95 94 93 92 91 583 570 98 97"
2580626,"484 483 482 481 480 479 478 477 486 485"
2558451,"388 387 386 385 384 383 382 390 389"
2600011,"538 468 73 72 71 542 541 540 539"
2554934,"252 251 241 240 239 255 254 253"
2693435,"257 256 487 260 259 78 77 258"
2707031,"103 102 399 398 397 137 136 472"
2645531,"212 211 210 209 208 144 115 222"
2541115,"236 235 234 233 232 231 238 237"
2617166,"76 75 74 467 466 465 419 418"
2543053,"577 69 348 347 576 575 304 303"
2560957,"112 111 45 44 43 223 114 113"
2568585,"353 352 351 350 349 302 354"
2567006,"582 581 580 454 453 452 583"
2720113,"461 460 474 473 135 134 133"
2681963,"551 550 549 548 547 360 552"
2562095,"21 20 19 163 162 161 22"
2725953,"145 151 150 149 148 147 146"
2636206,"143 156 155 154 153 152 543"
2631637,"175 174 173 172 171 177 176"
2735514,"190 36 489 512 511 510 191"
2613274,"332 331 359 336 335 334 333"
2716245,"318 317 282 281 280 279 278"
2538446,"427 357 356 431 430 429 428"
2540128,"124 123 122 121 126 125"
2714092,"365 364 27 165 164 366"
2539105,"68 67 66 65 70 69"
2635623,"469 496 495 214 213 470"
2733525,"217 216 451 450 449 448"
2599046,"195 194 193 192 358 520"
2547978,"545 142 141 140 139 546"
2733952,"425 424 393 300 299 426"
2670511,"99 569 568 400 101 100"
2694738,"540 539 538 537 215 471"
2732345,"508 507 506 521 283 249"
2729625,"32 31 30 29 28 262"
2721391,"323 322 321 320 319 324"
2538753,"565 40 39 38 567 566"
2602683,"128 127 132 131 130 129"
2542419,"327 326 325 330 329 328"
2610465,"296 295 294 293 297"
2724797,"554 553 243 242 555"
2733105,"226 225 224 228 227"
2552791,"3 110 109 5 4"
2583477,"53 316 56 55 54"
2580676,"533 532 531 535 534"
2735820,"13 12 11 10 14"
2720210,"59 58 57 572 499"
2695506,"363 362 361 355 364"
2724723,"243 242 522 523 244"
2557595,"370 369 368 182 181"
2624694,"313 312 311 310 314"
2628222,"26 25 24 23 166"
2729322,"403 402 401 405 404"
2727782,"423 422 421 420 394"
2733803,"247 298 283 509 248"
2540111,"51 50 49 108 52"
2734523,"84 83 82 81 263"
2735179,"527 586 585 528"
2560489,"434 433 432 435"
2540842,"265 264 267 266"
2539163,"380 379 42 41"
2547315,"559 562 561 560"
2547164,"16 15 18 17"
2734211,"7 500 60 8"
2730199,"6 571 574 573"
2733189,"246 245 439 438"
2697599,"458 584 583 570"
2734771,"184 261 186 185"
2735834,"188 529 301 189"
2735684,"85 88 87 86"
2712118,"408 407 406 367"
2660974,"47 46 498 497"
2543854,"290 289 292 291"
2735103,"63 62 61 64"
2714560,"417 392 391 77"
2730616,"80 79 202 201"
2732798,"437 436 180 299"
2560735,"446 445 444 519"
2694863,"503 537 505 504"
2735116,"105 104 106"
2538274,"345 344 346"
2735524,"284 339 285"
2736130,"119 118 120"
2736125,"287 286 288"
2735252,"34 33 35"
2730671,"178 536 179"
2736115,"491 490 492"
2539655,"558 381 48"
2594321,"167 309 168"
2735967,"377 107 378"
2735929,"206 205 207"
2735160,"587 526 588"
2735235,"159 158 592"
2735097,"525 524 591"
2725959,"145 463 462"
2716820,"371 376 116"
2538329,"475 476"
2735310,"203 204"
2539387,"563 564"
2736134,"513 514"
2538803,"1 2"
2539646,"89 90"
2735189,"218 219"
2736131,"342 343"
2543801,"307 308"
2736133,"593 594"
2736136,"395 396"
2539326,"442 443"
2735229,"220 221"
2732803,"183 488"
2732124,"169 170"
2734499,"337 338"
2735769,"117 229"
2542687,"515 516"
2735768,"556 557"
2545628,"517 518"
2734799,"590 250"
2735988,"464 530"
2660152,"544 157"
2735764,"187 37"
2541122,"493 494"
2735169,"501 9"
2735953,"410 411"
2734097,"589 409"
2735249,"440 441"
2726179,"447 472"
2736012,"340 341"
2710968,"305 306"
2736160,"199 198 197 196 200"
2736137,"69 502 457 456 455 579 578 577"
