DutyID,TaskIDs
68098,"40"
68108,"1"
68575,"655"
68658,"522"
68687,"175"
68816,"154"
68818,"342"
68821,"394"
68822,"287"
68823,"244"
68824,"685"
90425,"205 204 203 202 201 200 263 209 208 207 206"
76466,"567 227 16 15 14 13 12 11 10 9"
74379,"462 461 460 321 320 319 318 8 7"
101226,"448 447 446 445 444 443 451 450 449"
77884,"407 406 405 404 403 402 401 166 165"
75997,"352 351 491 490 489 488 354 353"
116497,"283 282 281 280 279 286 285 284"
81527,"537 536 535 534 670 669 539 538"
85101,"132 131 130 129 128 135 134 133"
96706,"601 21 20 606 605 604 603 602"
111040,"218 217 216 215 214 364 363 219"
116150,"308 307 306 305 339 311 310 309"
69144,"74 73 72 71 70 69 76 75"
85745,"328 327 326 325 324 330 329"
70714,"92 91 189 188 187 186 185"
86998,"377 376 375 381 380 379 378"
117791,"153 152 151 181 180 179 178"
95765,"547 546 545 544 543 542 548"
112916,"454 453 452 367 366 388 148"
108954,"30 29 28 27 26 32 31"
107883,"144 143 142 141 140 146 145"
98157,"170 169 583 582 581 580 579"
110213,"420 419 418 417 416 422 421"
107829,"107 106 105 111 110 109 108"
83502,"197 196 195 194 720 232 231"
117220,"220 226 225 224 223 222 221"
71725,"566 565 193 192 191 190 567"
69601,"588 668 667 517 516 515 458"
99345,"23 22 600 599 598 25 24"
88564,"199 198 137 136 265 264"
70973,"519 518 666 665 664 520"
70912,"625 624 623 622 627 626"
84589,"18 17 294 293 292 19"
106400,"139 138 336 335 334 333"
117374,"86 559 558 557 556 87"
108070,"274 273 272 83 276 275"
71552,"158 163 162 161 160 159"
85308,"100 441 440 439 438 101"
114212,"64 63 280 338 337 65"
84375,"593 592 597 596 595 594"
85855,"52 51 50 49 295 53"
84898,"498 497 502 501 500 499"
92491,"102 635 634 633 104 103"
108588,"704 703 702 701 706 705"
87172,"576 575 574 573 578 577"
102479,"505 510 509 508 507 506"
84296,"232 231 230 229 234 233"
107239,"56 55 54 59 58 57"
80571,"317 572 571 570 569 568"
97443,"268 267 266 271 270 269"
109324,"365 213 212 211 456 455"
68917,"713 120 119 118 714"
108683,"608 607 611 610 609"
117382,"36 35 34 33 37"
111098,"727 726 725 729 728"
107737,"301 300 299 303 302"
75139,"649 690 689 688 650"
82588,"492 496 495 494 493"
116255,"115 114 113 112 116"
107077,"550 549 383 382 551"
109779,"683 682 640 639 684"
98497,"505 504 503 332 331"
70934,"400 399 398 397 316"
82217,"652 651 629 628 653"
84356,"694 693 692 691 442"
85522,"98 97 696 695 99"
83061,"409 408 164 411 410"
117246,"614 613 612 525 524"
82583,"436 435 434 433 437"
109136,"472 471 470 473"
73154,"43 42 41 44"
69550,"4 3 2 314"
115948,"553 552 555 554"
72867,"370 369 372 371"
84457,"355 358 357 356"
76056,"251 250 253 252"
115574,"641 644 643 642"
106592,"238 237 236 239"
83069,"46 45 48 47"
68939,"345 344 343 428"
72585,"289 288 291 290"
69013,"485 484 483 486"
117997,"39 38 661 117"
69155,"121 124 123 122"
102271,"173 172 171 174"
69664,"349 348 347 350"
68843,"619 155 621 620"
105691,"699 698 697 84"
70016,"313 312 6 5"
69008,"68 67 66 457"
109538,"385 384 387 386"
114799,"709 708 707 710"
71343,"431 430 429 432"
72416,"93 184 228 717"
117341,"389 392 391 390"
107297,"678 681 680 679"
75930,"126 125 127"
83782,"465 464 466"
87870,"297 296 298"
115114,"148 147 149"
111225,"512 511 513"
108076,"637 636 638"
84742,"79 78 80"
111056,"61 60 62"
80058,"649 648 671"
69019,"586 585 587"
117968,"423 660 659"
84884,"630 632 631"
69128,"248 247 249"
107602,"469 362 361"
84737,"673 672 674"
117990,"481 480 482"
72311,"589 591 590"
95808,"235 721 210"
69738,"459 514 315"
116199,"304 341 340"
70414,"647 533 532"
117863,"477 476 241"
75095,"94 96 95"
109846,"277 278"
83717,"373 374"
84430,"322 323"
84013,"167 168"
117942,"176 177"
69294,"156 157"
107079,"414 415"
117985,"645 646"
69103,"662 663"
68844,"617 618"
69819,"686 687"
106871,"722 723"
84116,"718 719"
68870,"711 712"
117249,"474 475"
118008,"526 527"
117979,"368 393"
69033,"182 183"
117903,"85 560"
87284,"540 541"
87528,"412 413"
118006,"562 563"
69084,"395 396"
117976,"615 616"
69054,"427 346"
68921,"245 246"
113517,"656 657"
108293,"256 257"
109733,"724 240"
88348,"521 359"
118009,"563 564"
86896,"81 82"
69581,"530 531"
107995,"255 256"
117987,"242 243"
117998,"425 426"
112772,"584 150"
117984,"260 261"
69093,"715 716"
87871,"467 468"
84807,"254 654"
117734,"730 478"
69020,"89 529"
111045,"258 259"
117981,"561 88"
92449,"675 676"
106138,"677 700"
107484,"360 212"
70688,"487 77"
117983,"731 479"
78528,"463 262"
117893,"658 424"
116867,"523 221"
69063,"528 90"
