DutyID,TaskIDs
6787,"107"
6788,"267"
6791,"46"
6795,"47"
6802,"108"
6896,"178"
7050,"124"
7055,"106"
11446,"281 280 279 278 277 276 275 282"
9902,"259 258 257 256 255 261 260"
7822,"159 158 157 163 162 161 160"
7289,"154 153 152 151 150 149 155"
7650,"112 111 110 109 93 92 91"
12608,"235 234 266 265 264 263 262"
9149,"99 15 14 102 101 100"
12445,"193 192 191 190 189 194"
7997,"208 207 206 205 210 209"
8593,"127 132 131 130 129 128"
7581,"203 202 201 177 176 204"
12437,"136 135 134 133 18"
10730,"214 213 212 211 215"
7141,"173 172 171 175 174"
7475,"88 87 86 90 89"
8417,"186 185 184 188 187"
11578,"32 36 35 34 33"
7967,"115 54 118 117 116"
7108,"244 243 242 241 71"
7986,"181 180 179 183 182"
7198,"270 269 70 7 6"
12800,"21 20 19 22"
12591,"39 38 37 40"
9351,"16 98 97 17"
12838,"43 42 41 44"
7186,"84 83 82 85"
7481,"249 248 247 250"
8027,"228 231 230 229"
7064,"2 1 4 3"
12865,"63 62 65 64"
7977,"252 251 254 253"
12331,"60 59 58 61"
7261,"49 48 51 50"
7630,"9 8 11 10"
12806,"138 137 140 139"
7068,"146 145 148 147"
7390,"5 201 200 199"
12810,"237 236 238"
8173,"56 55 57"
12886,"143 142 144"
7206,"222 221 223"
7947,"95 94 96"
12872,"122 121 123"
12151,"233 232 103"
7911,"29 28 30"
12054,"77 79 78"
12246,"166 165 167"
7410,"271 273 272"
7959,"274 76 75"
12657,"217 216 218"
7940,"73 74"
7832,"113 114"
7594,"26 27"
7919,"226 227"
7595,"125 156"
7248,"245 246"
12883,"23 24"
12878,"66 67"
7065,"219 220"
7061,"195 196"
8068,"12 13"
12852,"239 240"
7584,"224 225"
7077,"169 170"
7274,"197 198"
7884,"52 53"
12874,"80 45"
12877,"141 81"
12882,"68 69"
7516,"199 72"
7073,"168 268"
8092,"164 276"
7905,"126 31"
12866,"104 105"
7298,"25 26"
12098,"119 120"
