DutyID,CplexValue
2738427,1,000000000
2738435,1,000000000
2738449,1,000000000
2738460,1,000000000
2738463,1,000000000
3817953,0,522346994
3775671,0,441960825
2960166,0,554815668
2950595,0,022771876
3297539,0,454940049
3682502,0,364299875
3250159,0,307614863
3250058,0,692385137
3336867,0,194005459
3393341,0,707991970
3846570,0,477653006
2975110,0,000507452
4113492,0,500000000
3298062,0,027661560
2908743,0,127537179
4095259,0,500000000
3623512,0,070341010
3194370,1,000000000
3395480,0,070341010
3388857,0,253051921
3388831,0,292008030
3052561,0,012839931
3963569,0,165079654
3081168,0,429811445
3662501,0,318686396
3185001,0,027661560
2782337,0,116646868
3804984,0,037585704
2743436,0,127537179
3723108,0,064693736
3246739,0,183620552
2782353,0,275721196
3338815,0,194005459
4102748,0,037585704
3470983,0,327090022
3963971,0,165079654
3798080,1,000000000
3618034,0,610972594
2975109,0,444676880
2823756,0,127537179
4080579,0,201833625
3753935,0,112932665
3968621,0,341232999
3761705,0,665079654
3388430,0,210027754
3319224,0,221667020
3275222,0,221667020
4232018,1,000000000
3745522,0,037585704
3072717,0,027661560
3156322,0,177845786
3332437,0,125266321
2908208,0,235169115
2743056,0,235169115
2743268,0,137293705
4113692,1,000000000
4162360,1,000000000
4076482,0,127493950
4064551,0,165079654
3692824,0,239352779
4058490,0,741566963
3451321,0,326668869
4058986,0,093353383
4292234,0,834920346
3548538,0,389027406
3557087,0,221667020
3688496,0,477653006
3804977,0,797334643
2782087,0,372462821
3050675,0,214422743
3250669,0,398043295
3633408,1,000000000
3286243,0,601956705
3535062,0,238699447
3590574,1,000000000
3531948,0,227060181
3250671,0,047141037
3378568,0,136940278
2899489,0,029661769
4127519,0,206594663
2818476,0,698691694
3689251,0,093353383
3447957,0,076853273
3338773,0,129387472
3869318,0,669840693
3984474,0,173007624
3869838,0,056599412
3869320,0,071726271
3171030,0,307614863
3745256,0,834920346
3332416,0,115880175
3397423,0,545059951
3605041,0,123994311
3605004,0,876005689
3138835,0,162165326
3378577,0,545059951
3023616,0,235169115
2790949,0,237445089
2894385,0,267646119
3180105,0,237445089
4298254,0,834920346
3188733,0,307614863
